TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO TERCEIRIZADO,AUXILIAR DE SERVICOS GERAIS,,,
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO COMISSIONADO,VDE IV - VICE DIRETOR ESTAB ENSINO,,,
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO SERVIDOR,"PROF PERM NIVEL - IV, PROF PERM NIVEL - III",,,
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"História, Ciências, Matemática, Língua Portuguesa, Geografia",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,"EE ALEXANDRE CELSO GARCIA, EE DR MANOEL DANTAS ENS 1 GRAU",VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Matemática, História, Geografia, Ciências, Língua Portuguesa",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,"VÍNCULO SERVIDOR, VÍNCULO RECÉM CONTRATADO",PROF PERM NIVEL - III,Professor de Educação Especial,,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,,EQUIPE GESTORA,VICE-DIRETOR(A)
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Arte, Língua Inglesa",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,"EE ALEXANDRE CELSO GARCIA, EE PREF JOSE DO CARMO DOS SANTOS",VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Matemática, Ciências, Estudo Orientado, Assembleia de Classe, Atividade APE, Ensino Religioso",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO TEMPORÁRIO,ESPECIALISTA DE EDUCACAO TEMPORARIO,,APOIO À EQUIPE GESTORA,APOIO PEDAGÓGICO
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO SERVIDOR,ESPECIALISTA PERM NIVEL - II,,APOIO À EQUIPE GESTORA,APOIO PEDAGÓGICO
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Professor de Educação Especial Intérprete/Tradutor de Libras,,SALA DE AULA
